re3data_orgidentifier,reponame,repourl,institutioncountry,repolang,institutionname,repocontact,description,subject,subjectscheme,repoidentifier,institutionidentifier,pidsystem,aidsystem,api,api_apitype,metadatastandardname,metadatastandardscheme,metadatastandardurl,qualitymanagement,datauploadtype,datauploadrestriction,datauploadlicensename,datauploadlicenseurl,dataaccessrestriction,dataaccesstype,databaseaccessrestriction,databaseaccesstype,datalicensename,datalicenseurl,certificate,non_nan_count
r3d100010192,British Oceanographic Data Centre,https://www.bodc.ac.uk/,"['GBR', 'GBR', 'GBR']",eng,"['British Oceanographic Data Centre', 'National Oceanography Centre, Liverpool Site', 'Natural Environment Research Council']","['enquiries@bodc.ac.uk', 'https://www.bodc.ac.uk/about/contact_us/']","The British Oceanographic Data Centre (BODC) is a national facility for looking after and distributing data concerning the marine environmentWe deal with biological, chemical, physical and geophysical data, and our databases contain measurements of nearly 22,000 different variables. Many of our staff have direct experience of marine data collection and analysis. They work alongside information technology specialists to ensure that data are documented and stored for current and future use.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31302 Oceanography', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG']","['03102fn17', '10.25504/FAIRsharing.tj9xv0', 'https://edmo.seadatanet.org/report/43']","['ROR:03102fn17', 'ROR:00874hx02', ['ROR:02b5d8509', 'RRID:SCR_012850', 'RRID:nlx_27406']]",DOI,,https://www.bodc.ac.uk/resources/delivery_formats/qxf_format/,NetCDF,"['DIF - Directory Interchange Format', 'Dublin Core', 'FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/fgdccsdgm-federal-geographic-data-committee-content-standard-digital-ge']",yes,restricted,registration,submission guides,https://www.bodc.ac.uk/submit_data/submission_guidelines/,other,"['closed', 'restricted']",,open,"['Copyrights', 'Copyrights']","['https://www.bodc.ac.uk/resources/help_and_hints/using_this_web_site/copyright/', 'https://www.bodc.ac.uk/resources/help_and_hints/using_this_web_site/picture_copyrights/']",other,29
r3d100010664,World Stress Map,https://www.world-stress-map.org/,"['DEU', 'AAA', 'DEU']",eng,"['Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences', 'International Council for Science, World Data System', 'Karlsruhe Institute of Technology']","['heidbach@gfz-potsdam.de', 'https://www.world-stress-map.org/contact']","The World Stress Map (WSM) is a global compilation of information on the crustal present-day stress field maintained since 2009 at the Helmholtz Centre Potsdam GFZ German Research Centre for Geosciences. It is a collaborative project between academia and industry that aims to characterize the crustal stress pattern and to understand the stress sources. All stress information is analysed and compiled in a standardized format and quality-ranked for reliability and comparability on a global scale. 
The WSM is an open-access public database and is used by various academic and industrial institutions working in a wide range of Earth science disciplines such as geodynamics, hazard assessment, hydrocarbon exploitations and engineering.","['3 Natural Sciences', '315 Geophysics and Geodesy', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG']",10.5880/WSM.2016.001,"['ROR:04z8jg394', ['ROR:01pwmqe95', 'Wikidata:Q17102557'], ['ROR:04t3en479', 'RRID:SCR_001552']]",DOI,,https://doidb.wdc-terra.org//oaip/,OAI-PMH,"['DIF - Directory Interchange Format', 'DataCite Metadata Schema', 'ISO 19115']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format', 'http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema', 'http://www.dcc.ac.uk/resources/metadata-standards/iso-19115']",yes,restricted,registration,Contribution and Participation,https://www.world-stress-map.org/data/,,open,,open,"['other', 'other']","['https://worlddatasystem.org/about/data-sharing-principles/', 'https://www.world-stress-map.org/download/']",WDS,28
r3d100010914,Australian Ocean Data Network Portal,https://portal.aodn.org.au/,"['AUS', 'AUS', 'AUS', 'AUS', 'AUS', 'AUS', 'AUS', 'AUS', 'AUS']",eng,"['Australian Government, Australian Institute of Marine Science', 'Australian Government, Bureau of Meteorology', 'Australian Government, Department of Education and Training, National Collaborative Research Infrastructure Strategy', 'Australian Government, Department of the Environment, Australian Antarctic Division', 'Australian Government, Geoscience Australia', 'Commonwealth Science and Industrial Research Organisation, Oceans and Atmosphere', 'Integrated Marine Observing System', 'Royal Australian Navy', 'University of Tasmania']",info@aodn.org.au,Australian Ocean Data Network (AODN) provides data collected by the Australian marine community. AODN's data is searchable via map interface and metadata catalogue. AODN is Australia's exhaustive repository for marine and climate data. AODN has merged with  IMOS eMarine Information Infrastructure (eMII) Facility in May 2016. IMOS is a multi-institutional collaboration with a focus on open data access.  It is ideally placed to manage the AODN on behalf of the Australian marine and climate community.,"['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31302 Oceanography', '315 Geophysics and Geodesy', '31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy', '317 Geography', '318 Water Research', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.j5eden,"['ROR:03x57gn41', 'ROR:04dkp1p98', 'ROR:05e89k615', 'ROR:04ge02x20', 'ROR:026nh4520', 'ROR:010x3gp67', 'ROR:01nfmeh72']",DOI,,"['https://help.aodn.org.au/using-the-portal/download-data/', 'https://help.aodn.org.au/downloading-data-from-servers/interact-with-data-opendap/']","['NetCDF', 'OpenDAP']",ISO 19115,DCC,http://www.dcc.ac.uk/resources/metadata-standards/iso-19115,yes,restricted,registration,AODN Contributing Data,https://help.aodn.org.au/contributing-data/,,open,,open,CC,https://creativecommons.org/licenses/by/4.0/,other,28
r3d100000006,Archaeology Data Service,https://archaeologydataservice.ac.uk/,"['GBR', 'GBR', 'GBR', 'GBR']",eng,"['Arts and Humanities Research Council', 'Joint Information Systems Committee', 'Natural Environment Research Council', 'University of York,  Institute of Fine Arts']","['help@archaeologydataservice.ac.uk', 'https://archaeologydataservice.ac.uk/contact/']","The ADS is an accredited digital repository for heritage data that supports research, learning and teaching with freely available, high quality and dependable digital resources by preserving and disseminating digital data in the long term. The ADS also promotes good practice in the use of digital data, provides technical advice to the heritage community, and supports the deployment of digital technologies.","['1 Humanities and Social Sciences', '101 Ancient Cultures', '10104 Classical Archaeology', '102 History', '11 Humanities']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.hm1mfg,"['ROR:0505m1554', ['ROR:01rv9gx86', 'RRID:SCR_011331', 'RRID:nlx_23596'], ['ROR:02b5d8509', 'RRID:SCR_012850', 'RRID:nlx_27406']]",DOI,,"['https://archaeologydataservice.ac.uk/about/policies/metadata/metadata-services/', 'https://data.archaeologydataservice.ac.uk/query/']","['OAI-PMH', 'SPARQL']","['DataCite Metadata Schema', 'Dublin Core', 'OAI-ORE - Open Archives Initiative Object Reuse and Exchange', 'Repository-Developed Metadata Schemas']","['DCC', 'DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/oai-ore-open-archives-initiative-object-reuse-and-exchange', 'http://www.dcc.ac.uk/resources/metadata-standards/repository-developed-metadata-schemas']",yes,restricted,"['feeRequired', 'other']",Guidelines for Depositors,https://archaeologydataservice.ac.uk/help-guidance/instructions-for-depositors/files-and-metadata/#section-guidelinesForDepositors-1.2.HowToDeposit,,open,,open,"['CC', 'Copyrights', 'Copyrights']","['https://creativecommons.org/licenses/', 'https://archaeologydataservice.ac.uk/help-guidance/data-reuse/identifying-copyright/', 'https://archaeologydataservice.ac.uk/terms-and-conditions/']",other,28
r3d100010189,National Geoscience Data Centre,https://www.bgs.ac.uk/geological-data/national-geoscience-data-centre/,"['GBR', 'GBR']",eng,"['British Geological Survey', 'Natural Environment Research Council']",ngdc@bgs.ac.uk,"The BGS is a data-rich organisation with over 400 datasets in its care; including environmental monitoring data, digital databases, physical collections (borehole core, rocks, minerals and fossils), records and archives. Our data is managed by the National Geoscience Data Centre.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '315 Geophysics and Geodesy', '31501 Geophysics', '318 Water Research', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/fairsharing.drz6sx,"['ROR:04a7gbp98', ['ROR:02b5d8509', 'RRID:SCR_012850', 'RRID:nlx_27406']]",DOI,,"['ftp://ftp.bgs.ac.uk/', 'https://www.bgs.ac.uk/technologies/web-services/api/']","['FTP', 'REST']",ISO 19115,DCC,http://www.dcc.ac.uk/resources/metadata-standards/iso-19115,yes,open,,NGDC Digital Data Deposit Application,http://transfer.bgs.ac.uk/ingestion?_ga=2.39087907.1244703088.1711088512-254227631.1711088512,feeRequired,"['closed', 'open', 'restricted']",,open,"['Copyrights', 'OGL']","['https://www.bgs.ac.uk/download/bgs-research-data-management-policy/', 'https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/']",other,28
r3d100010451,Pacific and Regional Archive for Digital Sources in Endangered Cultures,https://www.paradisec.org.au/,"['AUS', 'AUS', 'AUS', 'AUS', 'AUS']",eng,"['Australian National University', 'Australian Research Council', 'University of Melbourne', 'University of New England', 'University of Sydney']","['admin@paradisec.org.au', 'https://www.paradisec.org.au/about-us/contact-us/']","PARADISEC (the Pacific And Regional Archive for Digital Sources in Endangered Cultures) offers a facility for digital conservation and access to endangered materials from all over the world. Our research group has developed models to ensure that the archive can provide access to interested communities, and conforms with emerging international standards for digital archiving. We have established a framework for accessioning, cataloguing and digitising audio, text and visual material, and preserving digital copies. The primary focus of this initial stage is safe preservation of material that would otherwise be lost, especially field tapes from the 1950s and 1960s.","['1 Humanities and Social Sciences', '103 Fine Arts, Music, Theatre and Media Studies', '10302 Musicology', '104 Linguistics', '10403 Typology, Non-European Languages, Historical Linguistics', '11 Humanities']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",,"['ROR:019wvm592', 'RRID:SCR_001086', 'RRID:nlx_23045', ['ROR:05mmh0f86', 'RRID:SCR_000952'], ['ROR:01ej9dk98', 'RRID:SCR_000999'], ['ROR:02n2ava60', 'RRID:SCR_024794'], ['ROR:0384j8v12', 'RRID:SCR_000381']]",DOI,,"['https://catalog.paradisec.org.au/oai/item', 'https://catalog.paradisec.org.au/apidoc']","['OAI-PMH', 'other']",Dublin Core,DCC,http://www.dcc.ac.uk/resources/metadata-standards/dublin-core,yes,restricted,registration,Deposit of material,https://www.paradisec.org.au/deposit/,"['feeRequired', 'other', 'registration']",restricted,,open,"['CC', 'Copyrights', 'other']","['https://creativecommons.org/licenses/by/4.0/', 'https://www.paradisec.org.au/about-us/principles-for-data-management/', 'https://www.paradisec.org.au/deposit/access-conditions/']",other,28
r3d100010138,Australian Data Archive,https://ada.edu.au/,"['AUS', 'AUS', 'AUS', 'AUS', 'AUS']",eng,"['Australian National University', 'University of Melbourne', 'University of Queensland', 'University of Technology Sydney', 'University of Western Australia']",ada@anu.edu.au,"The Australian Data Archive (ADA) provides a national service for the collection and preservation of digital research data and to make these data available for secondary analysis by academic researchers and other users. The archive is based in POLIS: the Social Policy Research Centre (formerly the ANU Centre for Social Research and Methods - CSRM) at the Australian National University (ANU). Along with Australian data, ADA is also a repository for studies conducted in other countries, particularly throughout the Asia-Pacific region. The ADA data catalogue includes studies from countries including New Zealand, Bangladesh, Cambodia, China and Indonesia.","['1 Humanities and Social Sciences', '106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies', '10602 Asian Studies', '11 Humanities', '111 Social Sciences', '11102 Empirical Social Research', '112 Economics', '11202 Economic and Social Policy', '11205 Statistics and Econometrics', '113 Jurisprudence', '11305 Criminology', '12 Social and Behavioural Sciences']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']","['10.25504/FAIRsharing.sN8d9i', 'SCR_014706']","['ROR:019wvm592', 'RRID:SCR_001086', 'RRID:nlx_23045', ['ROR:01ej9dk98', 'RRID:SCR_000999'], ['ROR:00rqy9422', 'RRID:SCR_012961'], ['ROR:03f0f6041', 'RRID:SCR_011711'], ['ROR:047272k79', 'RRID:SCR_012342']]",DOI,ORCID,,,DDI - Data Documentation Initiative,DCC,http://www.dcc.ac.uk/resources/metadata-standards/ddi-data-documentation-initiative,yes,restricted,registration,Depositing Data with the Australian Data Archive,https://ada.edu.au/depositing-data/,"['other', 'registration']","['closed', 'open', 'restricted', 'restricted']",,open,Copyrights,https://ada.edu.au/accessing-data/,other,28
r3d100010109,NASA Distributed Active Archive Center at National Snow & Ice Data Center,https://nsidc.org/data/data-programs/nsidc-daac,"['USA', 'USA', 'USA', 'USA', 'USA']",eng,"[""NASA's Earth Observing System Data and Information System"", 'National Oceanic and Atmospheric Administration', 'National Science Foundation', 'National Snow and Ice Data Center', 'University of Boulder, Cooperative Institute for Research in Environmental Sciences']",nsidc@nsidc.org,"The NSIDC Distributed Active Archive Center (DAAC) processes, archives, documents, and distributes data from NASA's past and current Earth Observing System (EOS) satellites and field measurement programs. The NSIDC DAAC focuses on the study of the cryosphere.
The NSIDC DAAC is one of NASA's Earth Observing System Data and Information System (EOSDIS) Data Centers.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31301 Atmospheric Science', '31302 Oceanography', '314 Geology and Palaeontology', '318 Water Research', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",,"['ROR:02z5nhe81', 'RRID:SCR_011426', ['ROR:021nxhr62', 'RRID:SCR_012938'], ['ROR:00bxr0z07', 'RRID:SCR_002220'], 'ROR:00bdqav06']",DOI,,"['https://opendap.larc.nasa.gov/opendap/', 'https://nsidc.org/data/user-resources/help-center/programmatic-data-access-guide']","['OpenDAP', 'REST']","['CF (Climate and Forecast) Metadata Conventions', 'DIF - Directory Interchange Format', 'Repository-Developed Metadata Schemas']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/cf-climate-and-forecast-metadata-conventions', 'http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format', 'http://www.dcc.ac.uk/resources/metadata-standards/repository-developed-metadata-schemas']",yes,restricted,registration,NSIDC DAAC Data Acceptance Plan,https://nsidc.org/sites/nsidc.org/files/files/data/daac/daac_data_policy_v09-1.pdf,other,"['embargoed', 'open', 'restricted']",,open,"['Public Domain', 'other', 'other']","['https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy', 'https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy', 'https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy/data-rights-and-related-issues']",other,28
r3d100000039,Global Biodiversity Information Facility,https://www.gbif.org/,DNK,eng,Global Biodiversity Information Facility,https://www.gbif.org/contact-us,"GBIF is an international organisation that is working to make the world's biodiversity data accessible everywhere in the world. GBIF and its many partners work to mobilize the data, and to improve search mechanisms, data and metadata standards, web services, and the other components of an Internet-based information infrastructure for biodiversity.
GBIF makes available data that are shared by hundreds of data publishers from around the world. These data are shared according to the GBIF Data Use Agreement, which includes the provision that users of any data accessed through or retrieved via the GBIF Portal will always give credit to the original data publishers.","['2 Life Sciences', '202 Plant Sciences', '20202 Plant Ecology and Ecosystem Analysis', '203 Zoology', '20303 Animal Ecology, Biodiversity and Ecosystem Research', '21 Biology']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']","['05fjyn938', '10.25504/FAIRsharing.zv11j3', 'SCR_005904', 'nlx_149475']","['ROR:05fjyn938', 'RRID:SCR_005904']",DOI,,https://www.gbif.org/developer/summary,REST,"['ABCD - Access to Biological Collection Data', 'Darwin Core', 'EML - Ecological Metadata Language']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/abcd-access-biological-collection-data', 'http://www.dcc.ac.uk/resources/metadata-standards/darwin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/eml-ecological-metadata-language']",unknown,restricted,other,Data publisher agreement,https://www.gbif.org/terms/data-publisher,,open,,open,"['CC', 'CC', 'CC0', 'other', 'other']","['https://creativecommons.org/licenses/by-nc/4.0/', 'https://creativecommons.org/licenses/by/4.0/', 'https://creativecommons.org/publicdomain/zero/1.0/', 'https://www.gbif.org/mou', 'https://www.gbif.org/terms']",WDS,28
r3d100010146,Swedish National Data Service,https://snd.se/en,"['SWE', 'SWE', 'SWE']","['eng', 'swe']","['Swedish National Data Service', 'Swedish Research Council', 'University of Gothenburg']","['https://snd.se/en/contact', 'snd@snd.se']","Swedish National Data Service (SND) is a research data infrastructure designed to assist researchers in preserving, maintaining, and disseminating research data in a secure and sustainable manner. The SND Search function makes it easy to find, use, and cite research data from a variety of scientific disciplines. Together with an extensive network of almost 40 Swedish higher education institutions and other research organisations, SND works for increased access to research data, nationally as well as internationally.","['1 Humanities and Social Sciences', '11 Humanities', '12 Social and Behavioural Sciences', '2 Life Sciences', '21 Biology', '22 Medicine', '23 Agriculture, Forestry, Horticulture and Veterinary Medicine', '3 Natural Sciences', '31 Chemistry', '32 Physics', '33 Mathematics', '34 Geosciences (including Geography)', '4 Engineering Sciences']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.pn7yxf,"['ROR:00ancw882', ['ROR:03zttf063', 'RRID:SCR_011552', 'RRID:nlx_152073'], ['ROR:01tm6cn81', 'RRID:SCR_011647', 'RRID:nlx_93338']]",DOI,,https://snd.se/oai-pmh,OAI-PMH,"['DDI - Data Documentation Initiative', 'DataCite Metadata Schema', 'Dublin Core']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/ddi-data-documentation-initiative', 'http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core']",yes,restricted,"['institutional membership', 'registration']",,,other,"['open', 'restricted']",,open,"['CC', 'ODC', 'Public Domain']","['https://creativecommons.org/', 'https://opendatacommons.org/', 'https://creativecommons.org/share-your-work/public-domain/']",other,27
r3d100010504,OceanColor web,https://oceancolor.gsfc.nasa.gov/,"['USA', 'USA']",eng,"['Goddard Space Flight Center, Ocean Biology Processing Group, Ocean Color Web', 'National Aeronautics and Space Administration']","['gene.c.feldman@nasa.gov', 'https://oceancolor.gsfc.nasa.gov/staff/gene/', 'webadmin@oceancolor.gsfc.nasa.gov']","The Ocean Biology Processing Group (OBPG) serves as the Distributed Active Archive Center (DAAC) for all Ocean Biology (OB) data produced or collected under NASA’s Earth Observing System Data and Information System (EOSDIS). This website thus serves as the primary data access portal to the NASA OB.DAAC. The links below provide a variety of methods to access the holdings of the OB.DAAC, including visual browsers that enable point-and-click access by data levels and direct access for bulk download. In agreement with partner organizations, some data access requires user registration to enable better tracking of usage metrics.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31302 Oceanography', '315 Geophysics and Geodesy', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.47f942,ROR:027ka1x80,DOI,,https://oceandata.sci.gsfc.nasa.gov/opendap/,OpenDAP,"['CF (Climate and Forecast) Metadata Conventions', 'ISO 19115']","['DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/cf-climate-and-forecast-metadata-conventions', 'http://www.dcc.ac.uk/resources/metadata-standards/iso-19115']",yes,restricted,other,,,registration,"['open', 'restricted']",,open,Copyrights,https://www.nasa.gov/general/accessibility/,"['other', 'WDS']",27
r3d100011801,NCEI,https://www.ncei.noaa.gov/,"['USA', 'USA', 'USA', 'USA']",eng,"['DataONE', 'NOAA National Environmental Satellite, Data, and Information Service', 'National Oceanic and Atmospheric Administration', 'United States Department of Commerce']","['https://www.ncei.noaa.gov/contact', 'ncei.info@noaa.gov']","NOAA's National Centers for Environmental Information (NCEI) are responsible for hosting and providing public access to one of the most significant archives for environmental data on Earth with over 20 petabytes of comprehensive atmospheric, coastal, oceanic, and geophysical data. NCEI headquarters are located in Asheville, North Carolina. Most employees work in the four main locations, but apart from those locations, NCEI has employees strategically located throughout the United States. The main locations are Cooperative Institute for Climate and Satellites–North Carolina (CICS-NC) at Asheville, North Carolina, Cooperative Institute for Research in Environmental Sciences (CIRES) at Boulder Colorado, Cooperative Institute for Climate and Satellites–Maryland (CICS-MD) at Silver Spring Maryland and Stennis Space Center, Mississippi.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '315 Geophysics and Geodesy', '31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.kjncvg,"['ROR:00hr5y405', 'ROR:007qwym43', 'ROR:02z5nhe81', 'ROR:04chq2495']",DOI,,https://www.ncei.noaa.gov/support/access-search-service-api-user-documentation,REST,ISO 19115,DCC,http://www.dcc.ac.uk/resources/metadata-standards/iso-19115,yes,restricted,institutional membership,Submitting Your Data,https://www.ncei.noaa.gov/archive,,open,,open,"['Copyrights', 'Public Domain']","['https://www.copyright.gov/title17/92chap4.html#403', 'https://www.ngdc.noaa.gov/ngdcinfo/privacy.html#copyright']",,27
r3d100011805,Digital Repository of Ireland,https://dri.ie/,"['IRL', 'IRL', 'IRL']",eng,"['National University of Ireland, Maynooth', 'Royal Irish Academy', 'Trinity College Dublin']","['b.knazook@ria.ie', 'dri@ria.ie', 'https://www.dri.ie/contact']","The Digital Repository of Ireland (DRI) is a national trusted digital repository (TDR) for Ireland’s social and cultural data. We preserve, curate, and provide sustained access to a wealth of Ireland’s humanities and social sciences data through a single online portal. The repository houses unique and important collections from a variety of organisations including higher education institutions, cultural institutions, government agencies, and specialist archives. DRI has staff members from a wide variety of backgrounds, including software engineers, designers, digital archivists and librarians, data curators, policy and requirements specialists, educators, project managers, social scientists and humanities scholars. DRI is certified by the CoreTrustSeal, the current TDR standard widely recommended for best practice in Open Science. In addition to providing trusted digital repository services, the DRI is also Ireland’s research centre for best practices in digital archiving, repository infrastructures, preservation policy, research data management and advocacy at the national and European levels. DRI contributes to policy making nationally (e.g. via the National Open Research Forum and the IRC), and internationally, including European Commission expert groups, the DPC, RDA and the OECD.","['1 Humanities and Social Sciences', '1 Humanities and Social Sciences', '101 Ancient Cultures', '102 History', '103 Fine Arts, Music, Theatre and Media Studies', '10301 Art History', '105 Literary Studies', '107 Theology', '109 Education Sciences', '11 Humanities', '111 Social Sciences', '12 Social and Behavioural Sciences', '3 Natural Sciences', '317 Geography', '31702 Human Geography', '31702 Human Geography', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']","['034d7ma87', '10.25504/FAIRsharing.wL29nJ']","['ROR:048nfjm95', 'ROR:019tbdj08', ['ROR:02tyrky19', 'RRID:SCR_000261']]",DOI,,,,Dublin Core,DCC,http://www.dcc.ac.uk/resources/metadata-standards/dublin-core,yes,restricted,institutional membership,DRI Deosit Terms and Conditions,https://repository.dri.ie/catalog/1544r4085,registration,"['embargoed', 'open', 'restricted']",,open,CC,https://creativecommons.org/licenses/by/4.0/deed.en_US,other,27
r3d100013204,University of Victoria Dataverse,https://borealisdata.ca/dataverse/uvic,"['CAN', 'CAN']","['eng', 'fra']","['University of Victoria', 'University of Victoria, Libraries']",researchdata@uvic.ca,"The University of Victoria Dataverse is a research data repository for our faculty, researchers, and students. It is a general repository, suitable for all disciplines, and accepts a wide range of data types and formats. All deposited files are held in a secure environment on Canadian servers, and depositors can choose to make content available publicly, to specific individuals, or to keep it locked.","['1 Humanities and Social Sciences', '2 Life Sciences', '3 Natural Sciences', '4 Engineering Sciences']","['DFG', 'DFG', 'DFG', 'DFG']",,"['ROR:04s5mat29', 'RRID:SCR_011740']",DOI,,"['https://guides.dataverse.org/en/latest/admin/discoverability.html', 'https://guides.dataverse.org/en/latest/api/native-api.html', 'https://guides.dataverse.org/en/latest/api/sword.html']","['OAI-PMH', 'REST', 'SWORD']","['DDI - Data Documentation Initiative', 'DataCite Metadata Schema', 'Dublin Core', 'OAI-ORE - Open Archives Initiative Object Reuse and Exchange']","['DCC', 'DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/ddi-data-documentation-initiative', 'http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/oai-ore-open-archives-initiative-object-reuse-and-exchange']",unknown,restricted,institutional membership,University of Victoria DataverseLogo for Borealis: The Canadian Dataverse Repository Collection Deposit Guidelines,https://libguides.uvic.ca/researchdata/dataverse/depositguidelines,other,"['closed', 'open', 'restricted']",,open,"['CC', 'Copyrights']","['https://creativecommons.org/licenses/by-nc-sa/4.0/', 'https://www.uvic.ca/library/research-teaching/copyright/index.php']",,27
r3d100010347,tDAR,https://www.tdar.org/,"['USA', 'USA', 'USA', 'GBR', 'USA', 'USA', 'USA']",eng,"['Arizona State University', 'Arizona State University, School of Human Evolution and Social Change, Center for Digital Antiquity', 'DataONE', 'Joint Information Systems Committee', 'National Endowment for the Humanities', 'National Science Foundation', 'The Andrew W. Mellon Foundation']","['comments@tdar.org', 'https://www.tdar.org/about/contact-us/']","The Digital Archaeological Record (tDAR) is an international digital repository for the digital records of archaeological investigations. tDAR’s use, development, and maintenance are governed by the Center for Digital Antiquity, an organization dedicated to ensuring the long-term preservation of irreplaceable archaeological data and to broadening the access to these data.","['1 Humanities and Social Sciences', '101 Ancient Cultures', '102 History', '11 Humanities']","['DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.7fKiFY,"['ROR:03efmqc40', 'RRID:SCR_014053', ['ROR:00hr5y405', 'ROR:SCR_003999', 'ROR:nlx_158410'], ['ROR:01rv9gx86', 'RRID:SCR_011331', 'RRID:nlx_23596'], ['ROR:02vdm1p28', 'RRID:SCR_000333', 'RRID:nlx_151503'], ['ROR:021nxhr62', 'RRID:SCR_012938', 'RRID:nlx_inv_1005118'], ['ROR:04jsh2530', 'RRID:SCR_005864', 'RRID:nlx_149404']]",DOI,,,,Dublin Core,DCC,http://www.dcc.ac.uk/resources/metadata-standards/dublin-core,yes,restricted,feeRequired,Upload and Contribute to tDAR,https://core.tdar.org/contribute,"['other', 'registration']","['closed', 'embargoed', 'restricted', 'restricted']",,open,"['CC', 'Copyrights', 'other']","['https://creativecommons.org/licenses/by/3.0/', 'https://www.tdar.org/about/policies/terms-of-use/', 'https://www.tdar.org/about/policies/terms-of-use/']",other,27
