value,count,percentage,source,column
tur,7,0.1509596722018547,All,Repository Language
ron,7,0.1509596722018547,All,Repository Language
slv,6,0.1293940047444468,All,Repository Language
hrv,6,0.1293940047444468,All,Repository Language
isl,5,0.107828337287039,All,Repository Language
tha,5,0.107828337287039,All,Repository Language
eus,4,0.08626266982963122,All,Repository Language
ukr,4,0.08626266982963122,All,Repository Language
mlt,3,0.06469700237222342,All,Repository Language
fas,3,0.06469700237222342,All,Repository Language
bul,3,0.06469700237222342,All,Repository Language
vie,3,0.06469700237222342,All,Repository Language
heb,3,0.06469700237222342,All,Repository Language
nob,3,0.06469700237222342,All,Repository Language
gle,2,0.04313133491481561,All,Repository Language
nno,2,0.04313133491481561,All,Repository Language
roh,1,0.02156566745740781,All,Repository Language
srd,1,0.02156566745740781,All,Repository Language
afr,1,0.02156566745740781,All,Repository Language
glg,1,0.02156566745740781,All,Repository Language
kal,1,0.02156566745740781,All,Repository Language
yor,1,0.02156566745740781,All,Repository Language
lao,1,0.02156566745740781,All,Repository Language
tel,1,0.02156566745740781,All,Repository Language
tam,1,0.02156566745740781,All,Repository Language
mar,1,0.02156566745740781,All,Repository Language
mal,1,0.02156566745740781,All,Repository Language
kan,1,0.02156566745740781,All,Repository Language
guj,1,0.02156566745740781,All,Repository Language
ben,1,0.02156566745740781,All,Repository Language
cym,1,0.02156566745740781,All,Repository Language
twi,1,0.02156566745740781,All,Repository Language
sqi,1,0.02156566745740781,All,Repository Language
zul,1,0.02156566745740781,All,Repository Language
2 Life Sciences,1887,9.474318421449013,All,Subject
3 Natural Sciences,1709,8.580609529547623,All,Subject
1 Humanities and Social Sciences,1295,6.501983230406186,All,Subject
21 Biology,1034,5.191544911382237,All,Subject
34 Geosciences (including Geography),912,4.579002861876789,All,Subject
22 Medicine,763,3.830898227644726,All,Subject
4 Engineering Sciences,742,3.725460661746247,All,Subject
201 Basic Biological and Medical Research,578,2.902043480443842,All,Subject
12 Social and Behavioural Sciences,524,2.630918310990611,All,Subject
205 Medicine,459,2.304563940352462,All,Subject
313 Atmospheric Science and Oceanography,459,2.304563940352462,All,Subject
11 Humanities,372,1.86775116734448,All,Subject
32 Physics,348,1.747251092031932,All,Subject
111 Social Sciences,325,1.631771853190742,All,Subject
315 Geophysics and Geodesy,306,1.536375960234975,All,Subject
203 Zoology,290,1.456042576693277,All,Subject
31 Chemistry,267,1.340563337852086,All,Subject
"204 Microbiology, Virology and Immunology",255,1.280313300195813,All,Subject
112 Economics,251,1.260229954310388,All,Subject
202 Plant Sciences,246,1.235125771953607,All,Subject
20105 General Genetics,245,1.230104935482251,All,Subject
"23 Agriculture, Forestry, Horticulture and Veterinary Medicine",245,1.230104935482251,All,Subject
31302 Oceanography,192,0.9640006025003766,All,Subject
317 Geography,192,0.9640006025003766,All,Subject
20107 Bioinformatics and Theoretical Biology,188,0.9439172566149521,All,Subject
311 Astrophysics and Astronomy,185,0.9288547472008836,All,Subject
318 Water Research,182,0.9137922377868153,All,Subject
"44 Computer Science, Electrical and System Engineering",179,0.8987297283727469,All,Subject
"207 Agriculture, Forestry, Horticulture and Veterinary Medicine",162,0.8133755083596927,All,Subject
"20502 Public Health, Health Services Research, Social Medicine",159,0.7983129989456242,All,Subject
31301 Atmospheric Science,151,0.7581463071747753,All,Subject
102 History,128,0.6426670683335843,All,Subject
104 Linguistics,125,0.6276045589195159,All,Subject
20503 Human Genetics,124,0.6225837224481598,All,Subject
206 Neurosciences,119,0.5974795400913793,All,Subject
"316 Geochemistry, Mineralogy and Crystallography",116,0.5824170306773109,All,Subject
11102 Empirical Social Research,115,0.5773961942059547,All,Subject
409 Computer Science,111,0.5573128483205302,All,Subject
"20306 Animal Genetics, Cell and Developmental Biology",110,0.5522920118491741,All,Subject
"31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy",109,0.547271175377818,All,Subject
20103 Cell Biology,102,0.512125320078325,All,Subject
314 Geology and Palaeontology,102,0.512125320078325,All,Subject
"20303 Animal Ecology, Biodiversity and Ecosystem Research",95,0.4769794647788321,All,Subject
"103 Fine Arts, Music, Theatre and Media Studies",85,0.4267711000652709,All,Subject
20101 Biochemistry,84,0.4217502635939148,All,Subject
109 Education Sciences,82,0.4117085906512025,All,Subject
"308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas",79,0.3966460812371341,All,Subject
20207 Plant Genetics,78,0.391625244765778,All,Subject
101 Ancient Cultures,78,0.391625244765778,All,Subject
31501 Geophysics,77,0.3866044082944219,All,Subject
"20501 Epidemiology, Medical Biometry, Medical Informatics",72,0.3615002259376413,All,Subject
20202 Plant Ecology and Ecosystem Analysis,71,0.3564793894662851,All,Subject
11205 Statistics and Econometrics,69,0.3464377165235728,All,Subject
11104 Political Science,68,0.3414168800522167,All,Subject
113 Jurisprudence,63,0.3163126976954361,All,Subject
45 Construction Engineering and Architecture,62,0.3112918612240799,All,Subject
11202 Economic and Social Policy,60,0.3012501882813677,All,Subject
110 Psychology,58,0.2912085153386554,All,Subject
"106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies",57,0.2861876788672993,All,Subject
"31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management",57,0.2861876788672993,All,Subject
"309 Particles, Nuclei and Fields",55,0.276146005924587,All,Subject
43 Materials Science and Engineering,55,0.276146005924587,All,Subject
33 Mathematics,51,0.2560626600391625,All,Subject
410 Construction Engineering and Architecture,51,0.2560626600391625,All,Subject
301 Molecular Chemistry,50,0.2510418235678064,All,Subject
20104 Structural Biology,48,0.2410001506250941,All,Subject
"20401 Metabolism, Biochemistry and Genetics of Microorganisms",46,0.2309584776823819,All,Subject
20701 Soil Sciences,42,0.2108751317969574,All,Subject
303 Physical and Theoretical Chemistry,39,0.195812622382889,All,Subject
20704 Ecology of Agricultural Landscapes,37,0.1857709494401767,All,Subject
105 Literary Studies,35,0.1757292764974645,All,Subject
406 Materials Science,33,0.1656876035547522,All,Subject
31101 Astrophysics and Astronomy,33,0.1656876035547522,All,Subject
31702 Human Geography,31,0.15564593061204,All,Subject
307 Condensed Matter Physics,31,0.15564593061204,All,Subject
"40904 Artificial Intelligence, Image and Language Processing",29,0.1456042576693277,All,Subject
407 Systems Engineering,28,0.1405834211979716,All,Subject
20710 Basic Forest Research,28,0.1405834211979716,All,Subject
20404 Virology,28,0.1405834211979716,All,Subject
20405 Immunology,27,0.1355625847266155,All,Subject
302 Chemical Solid State and Surface Research,27,0.1355625847266155,All,Subject
10601 Social and Cultural Anthropology and Ethnology/Folklore,26,0.1305417482552593,All,Subject
"304 Analytical Chemistry, Method Development (Chemistry)",26,0.1305417482552593,All,Subject
42 Thermal Engineering/Process Engineering,25,0.1255209117839032,All,Subject
20509 Pharmacology,25,0.1255209117839032,All,Subject
10301 Art History,25,0.1255209117839032,All,Subject
"31601 Geochemistry, Mineralogy and Crystallography",25,0.1255209117839032,All,Subject
107 Theology,25,0.1255209117839032,All,Subject
305 Biological Chemistry and Food Chemistry,24,0.1205000753125471,All,Subject
31701 Physical Geography,24,0.1205000753125471,All,Subject
10203 Modern and Current History,24,0.1205000753125471,All,Subject
"20302 Evolution, Anthropology",23,0.1154792388411909,All,Subject
"30301 Physical Chemistry of Molecules, Interfaces and Liquids - Spectroscopy, Kinetics",23,0.1154792388411909,All,Subject
20606 Cognitive Neuroscience and Neuroimaging,22,0.1104584023698348,All,Subject
10104 Classical Archaeology,22,0.1104584023698348,All,Subject
"41002 Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning",22,0.1104584023698348,All,Subject
408 Electrical Engineering,21,0.1054375658984787,All,Subject
"30801 Optics, Quantum Optics, Atoms, Molecules, Plasmas",21,0.1054375658984787,All,Subject
20708 Agricultural Economics and Sociology,20,0.1004167294271225,All,Subject
"20403 Medical Microbiology, Molecular Infection Biology",20,0.1004167294271225,All,Subject
"41001 Architecture, Building and Construction History, Sustainable Building Technology, Building Design",20,0.1004167294271225,All,Subject
10302 Musicology,19,0.09539589295576643,All,Subject
11204 Business Administration,19,0.09539589295576643,All,Subject
"20514 Hematology, Oncology, Transfusion Medicine",19,0.09539589295576643,All,Subject
31401 Geology and Palaeontology,19,0.09539589295576643,All,Subject
108 Philosophy,17,0.08535422001305418,All,Subject
20532 Biomedical Technology and Medical Physics,17,0.08535422001305418,All,Subject
11203 Public Finance,17,0.08535422001305418,All,Subject
41 Mechanical and industrial Engineering,16,0.08033338354169804,All,Subject
11206 Economic and Social History,16,0.08033338354169804,All,Subject
11103 Communication Science,16,0.08033338354169804,All,Subject
20402 Microbial Ecology and Applied Microbiology,16,0.08033338354169804,All,Subject
20201 Plant Systematics and Evolution,16,0.08033338354169804,All,Subject
20108 Anatomy,15,0.07531254707034192,All,Subject
20709 Inventory Control and Use of Forest Resources,14,0.07029171059898578,All,Subject
20301 Systematics and Morphology,14,0.07029171059898578,All,Subject
20305 Biochemistry and Animal Physiology,14,0.07029171059898578,All,Subject
"40704 Traffic and Transport Systems, Logistics",14,0.07029171059898578,All,Subject
"403 Process Engineering, Technical Chemistry",13,0.06527087412762966,All,Subject
40902 Software Technology,13,0.06527087412762966,All,Subject
20102 Biophysics,13,0.06527087412762966,All,Subject
20504 Physiology,13,0.06527087412762966,All,Subject
"30901 Particles, Nuclei and Fields",13,0.06527087412762966,All,Subject
20508 Pharmacy,13,0.06527087412762966,All,Subject
405 Materials Engineering,12,0.06025003765627353,All,Subject
20705 Plant Breeding,12,0.06025003765627353,All,Subject
20530 Radiology and Nuclear Medicine,12,0.06025003765627353,All,Subject
20510 Toxicology and Occupational Medicine,11,0.05522920118491741,All,Subject
10204 History of Science,11,0.05522920118491741,All,Subject
20520 Pediatric and Adolescent Medicine,11,0.05522920118491741,All,Subject
10201 Medieval History,11,0.05522920118491741,All,Subject
312 Mathematics,11,0.05522920118491741,All,Subject
"404 Heat Energy Technology, Thermal Machines, Fluid Mechanics",11,0.05522920118491741,All,Subject
20702 Plant Cultivation,11,0.05522920118491741,All,Subject
"10902 Research on Teaching, Learning and Training",11,0.05522920118491741,All,Subject
10903 Research on Socialization and Educational Institutions and Professions,10,0.05020836471356127,All,Subject
20205 Plant Biochemistry and Biophysics,10,0.05020836471356127,All,Subject
"10403 Typology, Non-European Languages, Historical Linguistics",10,0.05020836471356127,All,Subject
"20604 Systemic Neuroscience, Computational Neuroscience, Behaviour",10,0.05020836471356127,All,Subject
10605 Religious Studies and Jewish Studies,10,0.05020836471356127,All,Subject
30102 Organic Molecular Chemistry,10,0.05020836471356127,All,Subject
"30202 Physical Chemistry of Solids and Surfaces, Material Characterisation",9,0.04518752824220516,All,Subject
"11301 Legal and Political Philosophy, Legal History, Legal Theory",9,0.04518752824220516,All,Subject
20713 Basic Veterinary Medical Science,9,0.04518752824220516,All,Subject
20506 Pathology and Forensic Medicine,8,0.04016669177084902,All,Subject
10202 Early Modern History,8,0.04016669177084902,All,Subject
10101 Prehistory,8,0.04016669177084902,All,Subject
20707 Agricultural and Food Process Engineering,8,0.04016669177084902,All,Subject
"20515 Gastroenterology, Metabolism",8,0.04016669177084902,All,Subject
10105 Egyptology and Ancient Near Eastern Studies,8,0.04016669177084902,All,Subject
402 Mechanics and Constructive Mechanical Engineering,8,0.04016669177084902,All,Subject
11305 Criminology,8,0.04016669177084902,All,Subject
306 Polymer Research,7,0.03514585529949289,All,Subject
20601 Molecular Neuroscience and Neurogenetics,7,0.03514585529949289,All,Subject
10103 Ancient History,7,0.03514585529949289,All,Subject
10401 General and Applied Linguistics,7,0.03514585529949289,All,Subject
"10603 African, American and Oceania Studies",7,0.03514585529949289,All,Subject
10303 Theatre and Media Studies,7,0.03514585529949289,All,Subject
11303 Public Law,7,0.03514585529949289,All,Subject
40204 Acoustics,7,0.03514585529949289,All,Subject
30203 Theory and Modelling,7,0.03514585529949289,All,Subject
"40803 Electrical Energy Generation, Distribution, Application",7,0.03514585529949289,All,Subject
"11003 Social Psychology, Industrial and Organisational Psychology",7,0.03514585529949289,All,Subject
"310 Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics",6,0.03012501882813677,All,Subject
30101 Inorganic Molecular Chemistry,6,0.03012501882813677,All,Subject
10602 Asian Studies,6,0.03012501882813677,All,Subject
20106 Developmental Biology,6,0.03012501882813677,All,Subject
"40903 Operating, Communication and Information Systems",6,0.03012501882813677,All,Subject
20531 Radiation Oncology and Radiobiology,6,0.03012501882813677,All,Subject
"30201 Solid State and Surface Chemistry, Material Synthesis",6,0.03012501882813677,All,Subject
"40705 Human Factors, Ergonomics, Human-Machine Systems",5,0.02510418235678064,All,Subject
30701 Experimental Condensed Matter Physics,5,0.02510418235678064,All,Subject
"20711 Animal Husbandry, Breeding and Hygiene",5,0.02510418235678064,All,Subject
20204 Plant Physiology,5,0.02510418235678064,All,Subject
10402 Individual Linguistics,5,0.02510418235678064,All,Subject
"20714 Basic Research on Pathogenesis, Diagnostics and Therapy and Clinical Veterinary Medicine",5,0.02510418235678064,All,Subject
20304 Sensory and Behavioural Biology,5,0.02510418235678064,All,Subject
"10604 Islamic Studies, Arabian Studies, Semitic Studies",5,0.02510418235678064,All,Subject
20521 Gynaecology and Obstetrics,5,0.02510418235678064,All,Subject
20505 Nutritional Sciences,5,0.02510418235678064,All,Subject
"41006 Geotechnics, Hydraulic Engineering",5,0.02510418235678064,All,Subject
"11004 Differential Psychology, Clinical Psychology, Medical Psychology, Methodology",5,0.02510418235678064,All,Subject
"20517 Endocrinology, Diabetology",5,0.02510418235678064,All,Subject
30501 Biological and Biomimetic Chemistry,5,0.02510418235678064,All,Subject
"20513 Pneumology, Clinical Infectiology Intensive Care Medicine",5,0.02510418235678064,All,Subject
10901 General Education and History of Education,4,0.02008334588542451,All,Subject
20206 Plant Cell and Developmental Biology,4,0.02008334588542451,All,Subject
40401 Energy Process Engineering,4,0.02008334588542451,All,Subject
30302 General Theoretical Chemistry,4,0.02008334588542451,All,Subject
"20512 Cardiology, Angiology",4,0.02008334588542451,All,Subject
"41004 Sructural Engineering, Building Informatics, Construction Operation",4,0.02008334588542451,All,Subject
10702 Roman Catholic Theology,4,0.02008334588542451,All,Subject
"20608 Clinical Neurosciences I - Neurology, Neurosurgery",4,0.02008334588542451,All,Subject
"20518 Rheumatology, Clinical Immunology, Allergology",4,0.02008334588542451,All,Subject
11002 Developmental and Educational Psychology,4,0.02008334588542451,All,Subject
40301 Chemical and Thermal Process Engineering,4,0.02008334588542451,All,Subject
20611 Clinical Neurosciences III - Ophthalmology,4,0.02008334588542451,All,Subject
20703 Plant Nutrition,4,0.02008334588542451,All,Subject
20507 Clinical Chemistry and Pathobiochemistry,4,0.02008334588542451,All,Subject
"30401 Analytical Chemistry, Method Development (Chemistry)",4,0.02008334588542451,All,Subject
31201 Mathematics,4,0.02008334588542451,All,Subject
"20528 Dentistry, Oral Surgery",3,0.01506250941406838,All,Subject
"11001 General, Biological and Mathematical Psychology",3,0.01506250941406838,All,Subject
20602 Cellular Neuroscience,3,0.01506250941406838,All,Subject
40503 Composite Materials,3,0.01506250941406838,All,Subject
20203 Inter-organismic Interactions of Plants,3,0.01506250941406838,All,Subject
30502 Food Chemistry,3,0.01506250941406838,All,Subject
10801 History of Philosophy,3,0.01506250941406838,All,Subject
40603 Microstructural Mechanical Properties of Materials,3,0.01506250941406838,All,Subject
10701 Protestant Theology,3,0.01506250941406838,All,Subject
11201 Economic Theory,3,0.01506250941406838,All,Subject
20603 Developmental Neurobiology,3,0.01506250941406838,All,Subject
20524 Gerontology and Geriatric Medicine,3,0.01506250941406838,All,Subject
40302 Technical Chemistry,3,0.01506250941406838,All,Subject
"40802 Communication, High-Frequency and Network Technology, Theoretical Electrical Engineering",3,0.01506250941406838,All,Subject
11101 Sociological Theory,3,0.01506250941406838,All,Subject
11304 Criminal Law and Law of Criminal Procedure,2,0.01004167294271226,All,Subject
401 Production Technology,2,0.01004167294271226,All,Subject
20607 Molecular Neurology,2,0.01004167294271226,All,Subject
40502 Sintered Metallic and Ceramic Materials,2,0.01004167294271226,All,Subject
20609 Biological Psychiatry,2,0.01004167294271226,All,Subject
20527 Traumatology and Orthopaedics,2,0.01004167294271226,All,Subject
20522 Reproductive Medicine/Biology,2,0.01004167294271226,All,Subject
20526 Cardiothoracic Surgery,2,0.01004167294271226,All,Subject
40304 Biological Process Engineering,2,0.01004167294271226,All,Subject
20519 Dermatology,2,0.01004167294271226,All,Subject
20605 Comparative Neurobiology,2,0.01004167294271226,All,Subject
10503 European and American Literature,2,0.01004167294271226,All,Subject
20523 Urology,2,0.01004167294271226,All,Subject
40605 Biomaterials,2,0.01004167294271226,All,Subject
"40501 Metallurgical and Thermal Processes, Thermomechanical Treatment of Materials",2,0.01004167294271226,All,Subject
30601 Preparatory and Physical Chemistry of Polymers,2,0.01004167294271226,All,Subject
10504 General and Comparative Literature and Cultural Studies,2,0.01004167294271226,All,Subject
30603 Polymer Materials,2,0.01004167294271226,All,Subject
"40701 Automation, Control Systems, Robotics, Mechatronics",2,0.01004167294271226,All,Subject
40601 Thermodynamics and Kinetics of Materials,2,0.01004167294271226,All,Subject
"40105 Production Automation, Factory Operation, Operations Manangement",1,0.005020836471356128,All,Subject
20516 Nephrology,1,0.005020836471356128,All,Subject
"20610 Clinical Neurosciences II - Psychotherapy, Psychosomatic Medicine",1,0.005020836471356128,All,Subject
10502 Modern German Literature,1,0.005020836471356128,All,Subject
40602 Synthesis and Properties of Functional Materials,1,0.005020836471356128,All,Subject
40505 Coating and Surface Technology,1,0.005020836471356128,All,Subject
10102 Classical Philology,1,0.005020836471356128,All,Subject
11302 Private Law,1,0.005020836471356128,All,Subject
40702 Measurement Systems,1,0.005020836471356128,All,Subject
40604 Structuring and Functionalisation,1,0.005020836471356128,All,Subject
30602 Experimental and Theoretical Physics of Polymers,1,0.005020836471356128,All,Subject
10501 Medieval German Literature,1,0.005020836471356128,All,Subject
"40801 Electronic Semiconductors, Components, Circuits, Systems",1,0.005020836471356128,All,Subject
"31001 Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics",1,0.005020836471356128,All,Subject
40402 Technical Thermodynamics,1,0.005020836471356128,All,Subject
40901 Theoretical Computer Science,1,0.005020836471356128,All,Subject
30702 Theoretical Condensed Matter Physics,1,0.005020836471356128,All,Subject
40202 Mechanics,1,0.005020836471356128,All,Subject
DFG,19917,100.0,All,Subject Scheme
REST,760,35.44776119402985,All,API Type
OAI-PMH,384,17.91044776119403,All,API Type
other,320,14.92537313432836,All,API Type
FTP,320,14.92537313432836,All,API Type
SWORD,133,6.203358208955223,All,API Type
NetCDF,86,4.011194029850746,All,API Type
OpenDAP,50,2.332089552238806,All,API Type
SOAP,49,2.28544776119403,All,API Type
SPARQL,42,1.958955223880597,All,API Type
Dublin Core,620,25.52490736928777,All,Metadata Standard Name
DataCite Metadata Schema,458,18.85549608892548,All,Metadata Standard Name
DDI - Data Documentation Initiative,289,11.89790037052285,All,Metadata Standard Name
Repository-Developed Metadata Schemas,224,9.221902017291066,All,Metadata Standard Name
ISO 19115,215,8.851379168382051,All,Metadata Standard Name
OAI-ORE - Open Archives Initiative Object Reuse and Exchange,160,6.587072869493618,All,Metadata Standard Name
FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata,102,4.199258954302182,All,Metadata Standard Name
CF (Climate and Forecast) Metadata Conventions,49,2.017291066282421,All,Metadata Standard Name
Darwin Core,46,1.893783449979416,All,Metadata Standard Name
DIF - Directory Interchange Format,45,1.85261424454508,All,Metadata Standard Name
EML - Ecological Metadata Language,38,1.564429806504734,All,Metadata Standard Name
DCAT - Data Catalog Vocabulary,34,1.399752984767394,All,Metadata Standard Name
RDF Data Cube Vocabulary,25,1.029230135858378,All,Metadata Standard Name
ABCD - Access to Biological Collection Data,20,0.8233841086867023,All,Metadata Standard Name
other,19,0.7822149032523672,All,Metadata Standard Name
ISA-Tab,18,0.7410456978180321,All,Metadata Standard Name
International Virtual Observatory Alliance Technical Specifications,14,0.5763688760806917,All,Metadata Standard Name
FITS - Flexible Image Transport System,12,0.4940304652120214,All,Metadata Standard Name
PROV,8,0.3293536434746809,All,Metadata Standard Name
CIF - Crystallographic Information Framework,7,0.2881844380403458,All,Metadata Standard Name
MIBBI - Minimum Information for Biological and Biomedical Investigations,6,0.2470152326060107,All,Metadata Standard Name
SPASE Data Model,5,0.2058460271716756,All,Metadata Standard Name
SDMX - Statistical Data and Metadata Exchange,5,0.2058460271716756,All,Metadata Standard Name
CIM - Common Information Model,3,0.1235076163030054,All,Metadata Standard Name
AVM - Astronomy Visualization Metadata,2,0.08233841086867023,All,Metadata Standard Name
Genome Metadata,2,0.08233841086867023,All,Metadata Standard Name
QuDEx - Qualitative Data Exchange Format,1,0.04116920543433512,All,Metadata Standard Name
CSMD-CCLRC Core Scientific Metadata Model,1,0.04116920543433512,All,Metadata Standard Name
MIDAS-Heritage,1,0.04116920543433512,All,Metadata Standard Name
DCC,2429,100.0,All,Metadata Standard Scheme
yes,1780,57.60517799352751,All,Quality Management
unknown,1249,40.42071197411003,All,Quality Management
no,61,1.97411003236246,All,Quality Management
restricted,2301,68.89221556886228,All,Data Upload Type
closed,959,28.7125748502994,All,Data Upload Type
open,80,2.395209580838324,All,Data Upload Type
registration,975,38.81369426751593,All,Data Upload Restriction
institutional membership,724,28.82165605095541,All,Data Upload Restriction
other,644,25.63694267515924,All,Data Upload Restriction
feeRequired,168,6.687898089171974,All,Data Upload Restriction
storageLimit,1,0.03980891719745223,All,Data Upload Restriction
CC,22,2.452619843924192,All,Data Upload License Name
Creative Commons,21,2.341137123745819,All,Data Upload License Name
CC0,11,1.226309921962096,All,Data Upload License Name
Data Submission,10,1.114827201783724,All,Data Upload License Name
Terms of Use,9,1.003344481605351,All,Data Upload License Name
Data Submission Guidelines,9,1.003344481605351,All,Data Upload License Name
Submission policy,9,1.003344481605351,All,Data Upload License Name
IMEx data submission,8,0.8918617614269788,All,Data Upload License Name
Submission Guidelines,7,0.7803790412486065,All,Data Upload License Name
Submission Policy,7,0.7803790412486065,All,Data Upload License Name
Deposit,6,0.6688963210702341,All,Data Upload License Name
BCCM Material Deposit Agreement,6,0.6688963210702341,All,Data Upload License Name
Data Submission Policy,5,0.5574136008918618,All,Data Upload License Name
Borealis Terms of Use,5,0.5574136008918618,All,Data Upload License Name
Deposit Data,5,0.5574136008918618,All,Data Upload License Name
Public Domain,5,0.5574136008918618,All,Data Upload License Name
